lv1,lv2,lv3,lv4
1386.5869180918164,1452.828546602812,1504.3284657180586,1515.5970503430958
1382.8880607718888,1453.8559141637793,1500.8490003972852,1512.797304221938
1384.6233470888376,1451.0201597253192,1502.2871651560736,1513.8406977982254
1384.5491040682302,1458.1386415631239,1502.8374351043478,1514.2181787528823
1385.0555128639116,1456.5241003990095,1503.9239642617983,1514.250094011211
1384.132709451537,1451.583100068677,1501.7496175062104,1513.5046357326298
1383.9026801544214,1452.3148976105876,1501.333257375931,1513.4382245851648
1382.3910272506703,1452.0384763365018,1499.6650760297237,1512.5099780175958
1386.295121560956,1455.8110745674949,1505.065555431771,1515.2237962505942
1386.747039000179,1456.2823685663225,1504.8630069577523,1515.7282754040352
1384.2110207829985,1454.280926897893,1502.4774969876498,1513.5924104969924
1383.3493723350196,1457.5791762097917,1500.4313759346655,1513.7774166824138
1386.4555929016403,1459.9465885316692,1505.3718164929282,1515.5583659826027
1384.863112292455,1456.2310466703914,1503.4907699425723,1514.136663510525
1382.919438713151,1457.3084348017937,1500.3620606285228,1513.4304516959662
1385.357809769234,1456.3038911909107,1503.6282546224052,1514.5719596271197
1384.655324304211,1458.531946949434,1502.5624904875217,1514.4184119192525
1384.0779720402231,1452.7233840050544,1501.7187673432888,1513.5329533772947
1386.4888684030648,1459.2939558027074,1505.5355291942683,1515.5137451904504
1385.6875440270958,1453.0043221221924,1503.1658734868454,1514.8259861083393
1382.6849679575607,1453.7849319019883,1499.6787031096255,1512.948921659636
1385.122093362511,1454.6568097313566,1503.4469449774258,1514.269845771698
1383.9857318355257,1457.8342175677385,1502.4531419423201,1513.8106820233727
1382.1258523120978,1455.917123611625,1499.4791648352414,1512.8565328470645
1385.9791416099097,1457.9599056832487,1504.8943633436356,1515.0439529270313
1385.1709915223685,1453.3887082419271,1503.2075515702704,1514.298801896205
1385.2598172495952,1450.842754772178,1503.0381648559535,1514.3424831357784
1383.6372010690695,1457.8326022764234,1501.0322852181537,1513.882522989671
1384.4542737310596,1456.3442853122026,1502.550348237001,1513.9928913754566
1385.0769891989837,1453.1492941677318,1503.27128149037,1514.179091527619
1385.113832178036,1454.4194245373214,1503.5418435821546,1514.228128601536
1385.4033258955344,1453.1971369202156,1503.3286752896274,1514.5034759123062
1383.144391402925,1454.68004410792,1500.7533547822306,1513.1373849364763
1386.6592418400808,1458.9690453179933,1505.780588108647,1515.6201332134463
1381.2012984570456,1453.4756697987336,1498.4547704314123,1512.0843057138034
1383.052910805172,1456.3705019407355,1499.9815982978907,1513.492204911443
1385.6255552332461,1455.189624841745,1504.3044297473282,1514.6354030216726
1382.6878742118467,1449.9320342956592,1500.2124467160065,1512.427162238613
1383.7547277576925,1454.5022412303556,1501.2614788653816,1513.5079961325089
1384.0043490875644,1456.6648749074761,1502.143076139745,1513.74274564212
1384.2280960395126,1456.5891647146511,1502.8783588680728,1513.7493721062326
1382.9070608442544,1456.154178581948,1500.692372853155,1513.1577792785592
1383.597058863692,1455.4850464611663,1501.741636949848,1513.3560434485673
1382.5625154473178,1452.6071649350738,1499.343924076451,1512.8160427114524
1385.332466580443,1458.014475012665,1503.7005176905027,1514.6840993925232
1385.369851549204,1458.459707618777,1503.714628702693,1514.7598137864097
1382.5375706411733,1457.8879852032082,1499.3141549264483,1513.5254847602937
1383.4532663663451,1456.5163083988787,1501.2249568061618,1513.5017482885232
1383.2060009307975,1453.5521336649592,1500.0953259829569,1513.2515142511704
1383.0678143558487,1455.123305869201,1500.5630337449763,1513.1800391313893
1383.0653926248071,1457.9500701443203,1500.1526425448342,1513.6957707484498
1384.4295092325174,1452.6313108773277,1502.244346079819,1513.73568402127
1386.745672878764,1458.975996961093,1505.6708737226597,1515.7178665713548
1386.4695287279028,1456.7812504822703,1505.2667475280323,1515.4049611568366
1384.7283507173634,1454.4540825036368,1503.2470839899827,1513.917897734524
1385.2375409568367,1457.4451230078585,1503.4600003707087,1514.594093072494
1384.2669125318344,1455.0573793261688,1502.7170639735434,1513.6578467730942
1385.305977043989,1451.512993106331,1502.9316846736438,1514.4295252460513
1383.8013447566668,1456.3250000692724,1501.2669243336136,1513.750046969348
1385.475254587413,1458.6038197536257,1504.087456631772,1514.7917252667442
1386.732665313831,1458.953034327178,1505.5186126848716,1515.725150588988
1385.2655915600608,1456.1306520381893,1503.0622927194913,1514.5918117338767
